episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,policy_reward_mean,custom_metrics,sampler_perf,off_policy_estimator,num_metric_batches_dropped,info,timesteps_this_iter,evaluation,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,disc_loss,disc_acc,disc_updates,disc_samples_seen
nan,nan,nan,nan,0,{},{},{},{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 500, 'sample_time_ms': 1.577, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -86.36135818273343, 'episode_reward_min': -131.520197373412, 'episode_reward_mean': -117.38650867577651, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.22610003156025954, 'mean_processing_ms': 0.10409823370842845, 'mean_inference_ms': 0.6875104039278689}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,500,0,1,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-07-50,1556845670,6.603059530258179,6.603059530258179,20985,perceptron,169.229.222.188,6.603059530258179,500,1,0,6.737888,0.9863281,100,51200
-306.62210846654256,-306.62210846654256,-306.62210846654256,1000.0,0,{},{},"{'mean_env_wait_ms': 0.3181551838969136, 'mean_processing_ms': 0.47810689790860994, 'mean_inference_ms': 0.9036142747480791}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 1500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 1500, 'sample_time_ms': 2.083, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -137.5425663734273, 'episode_reward_min': -150.7214891339923, 'episode_reward_mean': -143.47326867190205, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2389778559084424, 'mean_processing_ms': 0.11053174966558219, 'mean_inference_ms': 0.7168157332245966}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,1500,1,3,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-08-04,1556845684,7.439059019088745,15.696603775024414,20985,perceptron,169.229.222.188,15.696603775024414,1500,3,0,1.1747006,0.9863281,300,153600
-306.62210846654256,-311.39617862571487,-309.0091435461287,1000.0,0,{},{},"{'mean_env_wait_ms': 0.31247075592021234, 'mean_processing_ms': 0.46211631070046433, 'mean_inference_ms': 0.8865831952183778}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 2500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 2500, 'sample_time_ms': 1.483, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.001, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -91.33363850904078, 'episode_reward_min': -116.5698994980416, 'episode_reward_mean': -104.28275658788785, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2419990656656132, 'mean_processing_ms': 0.11162147314082049, 'mean_inference_ms': 0.7233407388811772}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,2500,2,5,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-08-18,1556845698,7.11582612991333,24.249431848526,20985,perceptron,169.229.222.188,24.249431848526,2500,5,0,0.37727576,0.984375,500,256000
-306.62210846654256,-368.2513660486104,-328.75655104695596,1000.0,0,{},{},"{'mean_env_wait_ms': 0.3102106224259919, 'mean_processing_ms': 0.45518818596497207, 'mean_inference_ms': 0.8777463766122442}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 3500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 3500, 'sample_time_ms': 2.383, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -120.95476952303062, 'episode_reward_min': -146.5780722934388, 'episode_reward_mean': -133.97168356106152, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.2421857948222354, 'mean_processing_ms': 0.11236394607020897, 'mean_inference_ms': 0.724426961260783}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,3500,3,7,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-08-32,1556845712,6.849989175796509,32.63789987564087,20985,perceptron,169.229.222.188,32.63789987564087,3500,7,0,0.31136417,0.9863281,700,358400
-306.62210846654256,-392.2826365061678,-344.6380724117589,1000.0,0,{},{},"{'mean_env_wait_ms': 0.30609616287541463, 'mean_processing_ms': 0.4466815899181019, 'mean_inference_ms': 0.866443362219608}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 4500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 4500, 'sample_time_ms': 2.072, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -124.09741679401536, 'episode_reward_min': -148.4316441734948, 'episode_reward_mean': -133.7362719683303, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.24517388078539476, 'mean_processing_ms': 0.11309576544744651, 'mean_inference_ms': 0.7308538323787644}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,4500,4,9,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-08-45,1556845725,7.250882387161255,41.231292963027954,20985,perceptron,169.229.222.188,41.231292963027954,4500,9,0,0.2785398,0.97265625,900,460800
-127.81788187751465,-392.2826365061678,-301.27403430491006,1000.0,0,{},{},"{'mean_env_wait_ms': 0.3036255470168078, 'mean_processing_ms': 0.44098666667189146, 'mean_inference_ms': 0.8588830911840277}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 5500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 5500, 'sample_time_ms': 2.915, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -129.06140609280575, 'episode_reward_min': -174.05729612566424, 'episode_reward_mean': -147.24898235438616, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.24594910086701555, 'mean_processing_ms': 0.11359194728879327, 'mean_inference_ms': 0.7320668390078469}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,5500,5,11,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-08-59,1556845739,6.984715223312378,49.66766834259033,20985,perceptron,169.229.222.188,49.66766834259033,5500,11,0,0.23632556,0.984375,1100,563200
-127.81788187751465,-392.2826365061678,-312.13942885964394,1000.0,0,{},{},"{'mean_env_wait_ms': 0.3008480323105616, 'mean_processing_ms': 0.435514445304058, 'mean_inference_ms': 0.8514753881476452}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 6500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 6500, 'sample_time_ms': 2.702, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -105.46956362912195, 'episode_reward_min': -151.02847591793017, 'episode_reward_mean': -132.9842813072466, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.24802744804312327, 'mean_processing_ms': 0.1144877183658177, 'mean_inference_ms': 0.7360319129133436}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,6500,6,13,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-09-12,1556845752,7.399377822875977,58.34303331375122,20985,perceptron,169.229.222.188,58.34303331375122,6500,13,0,0.24607441,0.9765625,1300,665600
-127.81788187751465,-392.2826365061678,-299.13293462251835,1000.0,0,{},{},"{'mean_env_wait_ms': 0.29933512937796747, 'mean_processing_ms': 0.4323352882829682, 'mean_inference_ms': 0.8470708315757128}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 7500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 7500, 'sample_time_ms': 2.422, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -100.32747469657187, 'episode_reward_min': -163.43702740587878, 'episode_reward_mean': -124.39447421297066, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.25072191766133767, 'mean_processing_ms': 0.11561494443562874, 'mean_inference_ms': 0.742584797401502}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,7500,7,15,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-09-26,1556845766,7.276631832122803,67.11685013771057,20985,perceptron,169.229.222.188,67.11685013771057,7500,15,0,0.2485654,0.98046875,1500,768000
-127.81788187751465,-392.2826365061678,-289.1137576650235,1000.0,0,{},{},"{'mean_env_wait_ms': 0.297532214599551, 'mean_processing_ms': 0.4288350542112288, 'mean_inference_ms': 0.8420904970197194}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 8500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 8500, 'sample_time_ms': 2.125, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -107.90067284679824, 'episode_reward_min': -128.16111844239197, 'episode_reward_mean': -118.05108681889178, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.24948292061227867, 'mean_processing_ms': 0.11504486783433276, 'mean_inference_ms': 0.7394344024053967}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,8500,8,17,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-09-39,1556845779,6.874940872192383,75.32351040840149,20985,perceptron,169.229.222.188,75.32351040840149,8500,17,0,0.22076792,0.9824219,1700,870400
-127.81788187751465,-392.2826365061678,-288.50634343311447,1000.0,0,{},{},"{'mean_env_wait_ms': 0.29626034287553504, 'mean_processing_ms': 0.4261934552491786, 'mean_inference_ms': 0.8383701328476397}",{},0,"{'min_exploration': 1.0, 'max_exploration': 1.0, 'num_target_updates': 9500, 'num_reward_updates': 0, 'num_steps_trained': 0, 'num_steps_sampled': 9500, 'sample_time_ms': 2.599, 'replay_time_ms': nan, 'grad_time_ms': nan, 'update_time_ms': 0.002, 'opt_peak_throughput': 0.0, 'opt_samples': nan, 'learner': {}}",500,"{'episode_reward_max': -126.75283950149469, 'episode_reward_min': -156.95577885822365, 'episode_reward_mean': -145.3605181480351, 'episode_len_mean': 1000.0, 'episodes_this_iter': 5, 'policy_reward_mean': {}, 'custom_metrics': {}, 'sampler_perf': {'mean_env_wait_ms': 0.25124148549527436, 'mean_processing_ms': 0.11595923090732736, 'mean_inference_ms': 0.7436817809561443}, 'off_policy_estimator': {}, 'num_metric_batches_dropped': 0}",False,9500,9,19,95dc3a1089c842da886c7959a6368c84,2019-05-02_18-09-54,1556845794,7.494583606719971,84.24235320091248,20985,perceptron,169.229.222.188,84.24235320091248,9500,19,0,0.22057302,0.9765625,1900,972800
