type,hiddens,batch_size,cores,gpus,samples_per_s,disc_final_loss,disc_final_acc,train_time
single,"128,128",128,1,0,94226.97459653733,0.15152022,1.0,60
single,"128,128",128,2,0,78074.13064009791,0.14020444,1.0,60
single,"128,128",128,4,0,52043.68719288196,0.17559682,0.9921875,60
single,"128,128",128,8,0,48084.22149974145,0.1506143,1.0,60
single,"128,128",128,16,0,48804.55105362835,0.17435703,0.9921875,60
single,"128,128",128,32,0,46857.10711062289,0.19706199,0.9765625,60
dist,"128,128",128,1,0,17456.46165862645,0.17282965779304504,0.984375,60
dist,"128,128",128,2,0,20098.560042120855,0.14300867170095444,1.0,60
dist,"128,128",128,4,0,17494.276552587427,0.16422033309936523,0.9921875,60
dist,"128,128",128,8,0,7641.799670596028,0.1985872220247984,0.984375,60
dist,"128,128",128,16,0,5881.249426847092,0.18160910438746214,0.9921875,60
dist,"128,128",128,32,0,4038.665561821411,0.19824185641482472,0.9921875,60
single,"128,128",128,1,1,75491.84759788873,0.15987782,0.9921875,60
single,"128,128",128,4,1,43863.83957769181,0.16460994,0.9921875,60
single,"400,300",128,1,0,27725.85264990869,0.33263618,0.9765625,60
single,"400,300",128,2,0,39236.125723705074,0.3178795,0.9765625,60
single,"400,300",128,4,0,43579.30699222162,0.27277684,0.9921875,60
single,"400,300",128,8,0,26153.91922844612,0.26450622,1.0,60
single,"400,300",128,16,0,29204.941664544272,0.26756674,1.0,60
single,"400,300",128,32,0,29906.845859397803,0.3003341,0.9921875,60
dist,"400,300",128,1,0,10525.217064764302,0.27435070276260376,1.0,60
dist,"400,300",128,2,0,10241.946326766922,0.3104408383369446,0.984375,60
dist,"400,300",128,4,0,8345.051662006843,0.3175056651234627,0.9921875,60
dist,"400,300",128,8,0,5389.3903884303345,0.35238543525338173,0.9765625,60
dist,"400,300",128,16,0,4311.145940930422,0.36414752528071404,0.9765625,60
dist,"400,300",128,32,0,2916.9268987281594,0.3458398962393403,0.984375,60
single,"400,300",128,1,1,73383.47249354946,0.25772092,1.0,60
single,"400,300",128,4,1,40120.739421179314,0.26822138,1.0,60
single,"128,128",512,1,0,158094.92823028687,0.17049363,0.9902344,60
single,"128,128",512,2,0,165034.30926251988,0.15865174,0.9941406,60
single,"128,128",512,4,0,161574.23981228072,0.16654542,0.9902344,60
single,"128,128",512,8,0,92320.79910026261,0.16743645,0.9902344,60
single,"128,128",512,16,0,108068.9299467597,0.16096176,0.9941406,60
single,"128,128",512,32,0,104975.56998471775,0.17340222,0.98828125,60
dist,"128,128",512,1,0,54291.31522825865,0.16601240634918213,0.994140625,60
dist,"128,128",512,2,0,67805.57756274253,0.17896942794322968,0.986328125,60
dist,"128,128",512,4,0,60035.80386446471,0.17102714627981186,0.98828125,60
dist,"128,128",512,8,0,28674.070740976502,0.1671622283756733,0.994140625,60
dist,"128,128",512,16,0,22752.191336871478,0.1740223877131939,0.990234375,60
dist,"128,128",512,32,0,16076.431656388717,0.17435339791700244,0.98828125,60
single,"128,128",512,1,1,289795.0013261701,0.1520157,0.99609375,60
single,"128,128",512,4,1,187327.2912857097,0.14952645,0.99609375,60
single,"400,300",512,1,0,39198.89877073021,0.2831361,0.9941406,60
single,"400,300",512,2,0,54075.08097263244,0.285695,0.9921875,60
single,"400,300",512,4,0,67442.10470581471,0.29422176,0.9921875,60
single,"400,300",512,8,0,52408.67888102075,0.28698075,0.9921875,60
single,"400,300",512,16,0,63013.950227552705,0.28119457,0.9941406,60
single,"400,300",512,32,0,70949.73375649637,0.3096161,0.9863281,60
dist,"400,300",512,1,0,23667.502995215906,0.28699538111686707,0.994140625,60
dist,"400,300",512,2,0,25415.567786121912,0.28922733664512634,0.994140625,60
dist,"400,300",512,4,0,26842.748465932793,0.2927451431751251,0.994140625,60
dist,"400,300",512,8,0,19288.926517753407,0.30913062021136284,0.9921875,60
dist,"400,300",512,16,0,16127.560439836752,0.29574696719646454,0.984375,60
dist,"400,300",512,32,0,11423.627253606252,0.31885091215372086,0.9921875,60
single,"400,300",512,1,1,270506.62797038315,0.27348533,0.9921875,60
single,"400,300",512,4,1,195701.9906872657,0.2829038,0.99609375,60
